"probe" "entrez.id"
"422" "1558937_s_at" ""
"423" "1559025_at" "10801"
"424" "1559063_at" ""
"425" "1559078_at" "53335"
"426" "1559117_at" ""
"427" "1559131_a_at" ""
"428" "1559147_at" ""
"429" "1559148_at" "100129103"
"430" "1559156_at" ""
"431" "1559190_s_at" "112724"
"432" "1559214_at" ""
"433" "1559266_s_at" "387640"
"434" "1559277_at" "285736"
"435" "1559280_a_at" ""
"436" "1559333_at" ""
"437" "1559347_at" ""
"438" "1559360_at" ""
"439" "1559361_at" "346389"
"440" "1559391_s_at" ""
"441" "1559394_a_at" ""
"442" "1559401_a_at" ""
"443" "1559410_at" ""
"444" "1559425_at" ""
"445" "1559449_a_at" "9534"
"446" "1559450_at" ""
"447" "1559459_at" "613266"
"448" "1559477_s_at" "4211"
"449" "1559490_at" "84859"
"450" "1559496_at" "27068"
"451" "1559500_at" "23355"
"452" "1559529_at" "5747"
"453" "1559584_a_at" "283897"
"454" "1559598_at" ""
"455" "1559706_at" "64283"
"456" "1559739_at" "56994"
"457" "1559826_a_at" "401074"
"458" "1559827_at" "401074"
"459" "1559861_at" ""
"460" "1559882_at" "25939"
"461" "1559883_s_at" "25939"
"462" "1559921_at" "5175"
"463" "1559949_at" ""
"464" "1559957_a_at" "642852"
"465" "1559964_at" "401261"
"466" "1560023_x_at" ""
"467" "1560026_at" ""
"468" "1560031_at" "55691"
"469" "1560049_at" ""
"470" "1560101_at" "84144"
"471" "1560263_at" ""
"472" "1560271_at" ""
"473" "1560318_at" "9411"
"474" "1560342_at" ""
"475" "1560422_at" ""
"476" "1560433_at" ""
"477" "1560500_at" ""
"478" "1560562_a_at" "342926"
"479" "1560589_a_at" ""
"480" "1560676_at" "283514"
"481" "1560679_at" "151438"
"482" "1560741_at" "6638"
"483" "1560754_at" "112616"
"484" "1560763_at" ""
"485" "1560776_at" ""
"486" "1560813_at" ""
"487" "1560924_at" ""
"488" "1560926_at" ""
"489" "1560958_s_at" ""
"490" "1561155_at" ""
"491" "1561167_at" ""
"492" "1561180_at" ""
"493" "1561181_at" ""
"494" "1561195_at" ""
"495" "1561272_at" ""
"496" "1561280_at" "284576"
"497" "1561367_a_at" ""
"498" "1561574_at" ""
"499" "1561689_at" ""
"500" "1561690_at" ""
"501" "1561938_at" ""
"502" "1561956_at" ""
"503" "1562028_at" "896"
"504" "1562059_at" ""
"505" "1562169_at" ""
"506" "1562194_at" ""
"507" "1562226_at" "221806"
"508" "1562235_s_at" ""
"509" "1562275_at" ""
"510" "1562289_at" ""
"511" "1562321_at" "5166"
"512" "1562371_s_at" "200403"
"513" "1562484_at" "284071"
"514" "1562684_at" ""
"515" "1562736_at" "56956"
"516" "1562771_at" ""
"517" "1562828_at" ""
"518" "1562836_at" ""
"519" "1562921_at" ""
"520" "1562948_at" ""
"521" "1562966_at" "56243"
"522" "1563010_at" ""
"523" "1563111_a_at" "54965"
"524" "1563130_a_at" ""
"525" "1563209_a_at" "140733"
"526" "1563217_at" ""
"527" "1563321_s_at" "8028"
"528" "1563357_at" ""
"529" "1563364_at" ""
"530" "1563414_at" ""
"531" "1563461_at" ""
"532" "1563467_at" ""
"533" "1563468_at" ""
"534" "1563473_at" ""
"535" "1563478_at" "85379"
"536" "1563494_at" ""
"537" "1563573_at" ""
"538" "1563595_at" "9901"
"539" "1563649_at" ""
"540" "1563792_at" ""
"541" "1563830_a_at" "114827"
"542" "1563841_at" ""
"543" "1563963_at" ""
"544" "1564053_a_at" "253943"
"545" "1564139_at" "144571"
"546" "1564148_at" ""
"547" "1564164_at" "163486"
"548" "1564248_at" ""
"549" "1564292_at" ""
"550" "1564358_at" ""
"551" "1564359_a_at" "339260"
"552" "1564360_a_at" "339260"
"553" "1564378_a_at" ""
"554" "1564414_a_at" "154197"
"555" "1564424_at" ""
"556" "1564467_at" "84140"
"557" "1564479_a_at" ""
"558" "1564494_s_at" "5034"
"559" "1564796_at" "2012"
"560" "1564906_at" "724102"
"561" "1565162_s_at" "4257"
"562" "1565358_at" "5914"
"563" "1565566_a_at" ""
"564" "1565595_at" ""
"565" "1565597_at" ""
"566" "1565598_at" ""
"567" "1565627_a_at" ""
"568" "1565703_at" "4089"
"569" "1565717_s_at" "2521"
"570" "1565743_at" ""
"571" "1565776_at" ""
"572" "1565804_at" ""
"573" "1565809_x_at" ""
"574" "1565830_at" ""
"575" "1565834_a_at" ""
"576" "1565863_at" ""
"577" "1565913_at" ""
"578" "1565951_s_at" "1122"
"579" "1566040_at" "100288656"
"580" "1566113_at" ""
"581" "1566142_at" ""
"582" "1566163_at" ""
"583" "1566342_at" "6648"
"584" "1566465_at" "3775"
"585" "1566482_at" ""
"586" "1566539_at" ""
"587" "1566551_at" ""
"588" "1566557_at" "440465"
"589" "1566728_at" ""
"590" "1566764_at" ""
"591" "1566766_a_at" "346389"
"592" "1566867_at" ""
"593" "1566901_at" "7050"
"594" "1566959_at" ""
"595" "1566968_at" ""
"596" "1567045_at" ""
"597" "1567101_at" ""
"598" "1567224_at" "8091"
"599" "1567628_at" "972"
"600" "1567912_s_at" "100133581 /// 441519 /// 441520 /// 441521 /// 541465 /// 541466 /// 728911"
"601" "1567913_at" ""
"602" "1568592_at" "140691"
"603" "1568603_at" "8618"
"604" "1568604_a_at" "8618"
"605" "1568606_at" "399949"
"606" "1568618_a_at" "2589"
"607" "1568646_x_at" "7757"
"608" "1568658_at" "339804"
"609" "1568765_at" "5054"
"610" "1568780_at" ""
"611" "1568815_a_at" "79009"
"612" "1568838_at" "100128260 /// 100132169"
"613" "1568854_at" "100133205"
"614" "1568920_at" ""
"615" "1568983_a_at" ""
"616" "1569003_at" "81671"
"617" "1569020_at" "4739"
"618" "1569040_s_at" "645784"
"619" "1569054_at" "6507"
"620" "1569110_x_at" "728613"
"621" "1569111_at" "9580"
"622" "1569112_at" "204962"
"623" "1569149_at" "9260"
"624" "1569150_x_at" "9260"
"625" "1569157_s_at" "162993"
"626" "1569180_at" ""
"627" "1569181_x_at" ""
"628" "1569191_at" "664701"
"629" "1569302_at" "85459"
"630" "1569311_at" ""
"631" "1569312_at" ""
"632" "1569315_s_at" "100272228"
"633" "1569323_at" "5793"
"634" "1569362_at" ""
"635" "1569453_a_at" "692247"
"636" "1569464_at" "8496"
"637" "1569477_at" ""
"638" "1569512_at" ""
"639" "1569527_at" ""
"640" "1569540_at" ""
"641" "1569542_at" ""
"642" "1569582_at" "201651"
"643" "1569607_s_at" "100132733 /// 284232 /// 391267 /// 441425 /// 441430 /// 728747 /// 84210"
"644" "1569616_at" "647309"
"645" "1569648_at" "168002"
"646" "1569652_at" "4300"
"647" "1569878_at" "414194"
"648" "1569940_at" "28968"
"649" "1570120_at" ""
"650" "1570143_at" ""
"651" "1570165_at" ""
"652" "1570289_at" "646736"
"653" "1570338_at" ""
"654" "1570339_x_at" ""
"655" "1570441_at" "63908"
"656" "1570445_a_at" "643201"
"657" "1570515_a_at" "27145"
"658" "1570566_at" "100287529"
"659" "1570571_at" "55297"
"660" "1598_g_at" "2621"
"661" "200606_at" "1832"
"662" "200612_s_at" "163"
"663" "200628_s_at" "7453"
"664" "200629_at" "7453"
"665" "200632_s_at" "10397"
"666" "200633_at" "7314"
"667" "200637_s_at" "5792"
"668" "200641_s_at" "7534"
"669" "200644_at" "65108"
"670" "200660_at" "6282"
"671" "200665_s_at" "6678"
"672" "200670_at" "7494"
"673" "200696_s_at" "2934"
"674" "200706_s_at" "9516"
"675" "200727_s_at" "10097"
"676" "200730_s_at" "7803"
"677" "200762_at" "1808"
"678" "200769_s_at" "4144"
"679" "200783_s_at" "3925"
"680" "200795_at" "8404"
"681" "200796_s_at" "4170"
"682" "200799_at" "3303"
"683" "200800_s_at" "3303 /// 3304"
"684" "200808_s_at" "7791"
"685" "200810_s_at" "1153"
"686" "200811_at" "1153"
"687" "200832_s_at" "6319"
"688" "200841_s_at" "2058"
"689" "200862_at" "1718"
"690" "200872_at" "6281"
"691" "200878_at" "2034"
"692" "200884_at" "1152"
"693" "200887_s_at" "6772"
"694" "200894_s_at" "2288"
"695" "200897_s_at" "23022"
"696" "200904_at" "3133"
"697" "200905_x_at" "3133"
