"","SAMPLEID","ClassLabel"
"388","TCGA-30-1862","C1"
"389","TCGA-30-1866","C4"
"390","TCGA-30-1867","C1"
"391","TCGA-30-1880","C4"
"392","TCGA-30-1887","C1"
"393","TCGA-30-1891","C1"
"394","TCGA-30-1892","C1"
"395","TCGA-31-1944","C2"
"396","TCGA-31-1946","C1"
"397","TCGA-31-1950","C4"
"398","TCGA-31-1951","C1"
"399","TCGA-31-1953","C2"
"400","TCGA-31-1956","C2"
"401","TCGA-31-1959","C1"
"402","TCGA-36-1568","C2"
"403","TCGA-36-1569","C1"
"404","TCGA-36-1570","C4"
"405","TCGA-36-1571","C5"
"406","TCGA-36-1574","C1"
"407","TCGA-36-1575","C5"
"408","TCGA-36-1576","C1"
"409","TCGA-36-1577","C5"
"410","TCGA-36-1578","C2"
"411","TCGA-36-1580","C1"
"412","TCGA-36-1581","C2"
"413","TCGA-57-1582","C5"
"414","TCGA-57-1583","C5"
"415","TCGA-57-1584","C4"
"416","TCGA-57-1585","C1"
"417","TCGA-57-1586","C4"
"418","TCGA-57-1992","C5"
"419","TCGA-57-1993","C4"
"420","TCGA-57-1994","C2"
"421","TCGA-61-1722","C2"
"422","TCGA-61-1724","C1"
"423","TCGA-61-1725","C1"
"424","TCGA-61-1727","C2"
"425","TCGA-61-1728","C4"
"426","TCGA-61-1730","C5"
"427","TCGA-61-1733","C1"
"428","TCGA-61-1734","C4"
"429","TCGA-61-1736","C4"
"430","TCGA-61-1737","C1"
"431","TCGA-61-1738","C4"
"432","TCGA-61-1740","C2"
"433","TCGA-61-1741","C2"
"434","TCGA-61-1743","C4"
"435","TCGA-61-1895","C2"
"436","TCGA-61-1899","C4"
"437","TCGA-61-1900","C5"
"438","TCGA-61-1901","C2"
"439","TCGA-61-1903","C2"
"440","TCGA-61-1904","C2"
"441","TCGA-61-1906","C4"
"442","TCGA-61-1907","C2"
"443","TCGA-61-1910","C4"
"444","TCGA-61-1911","C2"
"445","TCGA-61-1913","C2"
"446","TCGA-61-1914","C2"
"447","TCGA-61-1915","C4"
"448","TCGA-61-1917","C2"
"449","TCGA-61-1918","C4"
"450","TCGA-61-1919","C1"
"451","TCGA-61-1995","C4"
"452","TCGA-61-1998","C1"
"453","TCGA-61-2000","C2"
"454","TCGA-61-2002","C2"
"455","TCGA-61-2003","C1"
"456","TCGA-61-2008","C2"
"457","TCGA-61-2009","C1"
"458","TCGA-61-2012","C2"
"459","TCGA-61-2016","C2"
"460","TCGA-61-2017","C4"
"461","TCGA-61-2018","C4"
"462","TCGA-61-2087","C4"
"463","TCGA-61-2088","C5"
"464","TCGA-61-2092","C4"
"465","TCGA-61-2094","C2"
"466","TCGA-61-2095","C1"
"467","TCGA-61-2096","C4"
"468","TCGA-61-2097","C1"
"469","TCGA-61-2098","C5"
"470","TCGA-61-2101","C1"
"471","TCGA-61-2102","C5"
"472","TCGA-61-2104","C2"
"473","TCGA-61-2109","C4"
"474","TCGA-61-2110","C4"
"475","TCGA-61-2111","C5"
"476","TCGA-61-2113","C1"
