probeset Group
204006_s_at C2.UP
206478_at C2.UP
1558077_s_at C1.Down
1552326_a_at C1.Down
211645_x_at C2.UP
241869_at C2.UP
210072_at C2.UP
210323_at C1.Down
226690_at C1.Down
205488_at C2.UP
204961_s_at C2.UP
221159_at C2.UP
208399_s_at C1.Down
204664_at C1.Down
203922_s_at C2.UP
34210_at C2.UP
228592_at C2.UP
222271_at C1.Down
236098_at C1.Down
212592_at C2.UP
211795_s_at C2.UP
210096_at C2.UP
210103_s_at C1.Down
215856_at C1.Down
215176_x_at C2.UP
204192_at C2.UP
220179_at C2.UP
1552910_at C1.Down
210445_at C1.Down
210164_at C2.UP
211641_x_at C2.UP
217320_at C2.UP
220591_s_at C1.Down
226424_at C1.Down
211644_x_at C2.UP
217179_x_at C2.UP
1555497_a_at C2.UP
231044_at C1.Down
240288_at C1.Down
204118_at C2.UP
216984_x_at C2.UP
211642_at C2.UP
220581_at C1.Down
241310_at C1.Down
210972_x_at C2.UP
211633_x_at C2.UP
208168_s_at C2.UP
216623_x_at C1.Down
230193_at C1.Down
210152_at C2.UP
205159_at C2.UP
1552368_at C2.UP
205186_at C1.Down
213432_at C1.Down
217281_x_at C2.UP
217480_x_at C2.UP
1569040_s_at C2.UP
40284_at C1.Down
243087_at C1.Down
214038_at C2.UP
215949_x_at C2.UP
234976_x_at C2.UP
214774_x_at C1.Down
235845_at C1.Down
214669_x_at C2.UP
235229_at C2.UP
214254_at C2.UP
228100_at C1.Down
1556003_a_at C1.Down
214916_x_at C2.UP
217157_x_at C2.UP
206207_at C2.UP
213492_at C1.Down
232745_x_at C1.Down
205890_s_at C2.UP
202269_x_at C2.UP
212827_at C2.UP
229085_at C1.Down
220390_at C1.Down
213915_at C2.UP
203923_s_at C2.UP
233969_at C2.UP
1552594_at C1.Down
1556158_at C1.Down
219386_s_at C2.UP
206150_at C2.UP
1554524_a_at C2.UP
206286_s_at C1.Down
244174_at C1.Down
206513_at C2.UP
216853_x_at C2.UP
210274_at C2.UP
226303_at C1.Down
226147_s_at C1.Down
209374_s_at C2.UP
206082_at C2.UP
210503_at C2.UP
215108_x_at C1.Down
207802_at C1.Down
202902_s_at C2.UP
205758_at C2.UP
206291_at C2.UP
1568603_at C1.Down
233249_at C1.Down
221651_x_at C2.UP
206011_at C2.UP
213831_at C2.UP
220125_at C1.Down
210861_s_at C1.Down
221671_x_at C2.UP
213888_s_at C2.UP
