Probe.ID Entrez.ID
243802_at 201625
235175_at 115361
218232_at 712
226960_at 284340
209469_at 2823
1559277_at 285736
238581_at 115362
211634_x_at 3507
234792_x_at 3493
231077_at 257177
237282_s_at 158798
214777_at ---
211742_s_at 2124
204580_at 4321
227867_at 129293
236373_at ---
211430_s_at 3492
204006_s_at 2214
206478_at 9834
1558077_s_at 130752
1552326_a_at 220136
211645_x_at ---
241869_at 80830
210072_at 6363
210323_at 27285
226690_at 117
205488_at 3001
204961_s_at 4687
221159_at ---
208399_s_at 1908
204664_at 250
203922_s_at 1536
34210_at 1043
228592_at 931
222271_at ---
236098_at 9400
212592_at 3512
211795_s_at 2533
210096_at 1580
210103_s_at 3170
215856_at 284266
215176_x_at 651629
204192_at 951
220179_at 64180
1552910_at 114132
210445_at 2172
210164_at 3002
211641_x_at ---
217320_at 652159
220591_s_at 80258
226424_at 828
211644_x_at 3514
217179_x_at 96610
1555497_a_at 1580
231044_at 127003
240288_at 283518
204118_at 962
216984_x_at 3535
211642_at 652161
220581_at 80129
241310_at ---
210972_x_at 28517
211633_x_at 3500
208168_s_at 1118
216623_x_at 27324
230193_at 144406
210152_at 11006
205159_at 1439
1552368_at 140690
205186_at 7802
213432_at 4587
217281_x_at ---
217480_x_at 339562
1569040_s_at 645784
40284_at 3170
243087_at 126820
214038_at 6355
215949_x_at 3507
234976_x_at 57835
214774_x_at 27324
235845_at 389058
214669_x_at 3514
235229_at ---
214254_at 4103
228100_at 128344
1556003_a_at ---
214916_x_at 3492
217157_x_at ---
206207_at 1178
213492_at 1280
232745_x_at 79925
205890_s_at 10537
202269_x_at 2633
212827_at 3507
229085_at 116135
220390_at 79841
213915_at 4818
203923_s_at 1536
233969_at 3535
1552594_at 147744
1556158_at 283726
219386_s_at 56833
206150_at 939
1554524_a_at 118427
206286_s_at 6997
244174_at ---
206513_at 9447
216853_x_at 3535
210274_at 4107
226303_at 5239
226147_s_at 5284
209374_s_at 3507
206082_at ---
210503_at 4110
215108_x_at 27324
207802_at 10321
202902_s_at 1520
205758_at 925
206291_at 4922
1568603_at 8618
233249_at 647180
221651_x_at 28299
206011_at 834
213831_at 3117
220125_at 27019
210861_s_at 8838
221671_x_at 28299
213888_s_at 80342
1554526_at 118427
237206_at 93649
213436_at 1268
217378_x_at 391427
215946_x_at 91353
209752_at 5967
232984_at 54768
224355_s_at 83661
224795_x_at 28299
237625_s_at ---
205799_s_at 6519
203178_at 2628
1555804_a_at 80122
223502_s_at 10673
211640_x_at 28461
225330_at 145815
243610_at 138255
215692_s_at 744
203471_s_at 5341
211368_s_at 834
212158_at 6383
226248_s_at 57535
220636_at 64446
234764_x_at 3535
224342_x_at 96610
228821_at ---
1553734_at 122481
1557636_a_at 136288
211798_x_at 28831
223565_at 51237
226069_at 144165
233157_x_at 93233
224463_s_at 85016
209969_s_at 6772
227346_at 10320
204400_at 10278
1561280_at 284576
238763_at 282996
212587_s_at 5788
210029_at 3620
242979_at ---
229976_at 254956
228656_at 5629
214677_x_at 28786
206666_at 3003
242452_at 26
229169_at 118491
1553179_at 171019
205306_x_at 8564
205267_at 5450
212154_at 6383
227081_at 7802
1553970_s_at 1056
213975_s_at 10859
238439_at 118932
210674_s_at 56134
209173_at 10551
227198_at 3899
1554240_a_at 3683
230966_at 259307
212157_at 6383
229973_at 127254
231384_at ---
216576_x_at ---
1559883_s_at 25939
230493_at 387914
240065_at 153643
240303_at 646769
206978_at 1231
229629_at ---
230708_at 144165
236666_s_at ---
237328_at ---
1554899_s_at 2207
